Project Name,new,,,,,,,,,,,
Experiment Name,,,,,,,,,,,,
Comments,,,,,,,,,,,,
Plate_E,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12
F01,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
F02,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12
F03,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
F04,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12
F05,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12
F06,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
F07,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12
F08,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
,,,,,,,,,,,,
Plate_H,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12
F01,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12
F02,j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11,j12
F03,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12
F04,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12
F05,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
F06,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12
F07,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12
F08,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
,,,,,,,,,,,,
Plate_J,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12
F01,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
F02,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
F03,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
F04,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
F05,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12
F06,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12
F07,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12
F08,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
,,,,,,,,,,,,
Plate_L,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12
F01,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12
F02,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12
F03,aa1,aa2,aa3,aa4,aa5,aa6,aa7,aa8,aa9,aa10,aa11,aa12
F04,ab1,ab2,ab3,ab4,ab5,ab6,ab7,ab8,ab9,ab10,ab11,ab12
F05,ac1,ac2,ac3,ac4,ac5,ac6,ac7,ac8,ac9,ac10,ac11,ac12
F06,ad1,ad2,ad3,ad4,ad5,ad6,ad7,ad8,ad9,ad10,ad11,ad12
F07,ae1,ae2,ae3,ae4,ae5,ae6,ae7,ae8,ae9,ae10,ae11,ae12
F08,af1,af2,af3,af4,af5,af6,af7,af8,af9,af10,af11,af12
,,,,,,,,,,,,
Plate_48,R01,R02,R03,R04,R05,R06,NoIndex,NoIndex.1,NoIndex.2,NoIndex.3,NoIndex.4,NoIndex.5
F01,ag1,ag2,ag3,ag4,ag5,ag6,blank,blank,blank,blank,blank,blank
F02,ah1,ah2,ah3,ah4,ah5,ah6,blank,blank,blank,blank,blank,blank
F03,ai1,ai2,ai3,ai4,ai5,ai6,blank,blank,blank,blank,blank,blank
F04,al1,al2,al3,al4,al5,al6,blank,blank,blank,blank,blank,blank
F05,am1,am2,am3,am4,am5,am6,blank,blank,blank,blank,blank,blank
F06,an1,an2,an3,an4,an5,an6,blank,blank,blank,blank,blank,blank
F07,ao1,ao2,ao3,ao4,ao5,ao6,blank,blank,blank,blank,blank,blank
F08,ap1,ap2,ap3,ap4,ap5,ap6,blank,blank,blank,blank,blank,blank